BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000301500,BASE FRAME GUARD SET - 110-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000301600,SEAMLESS PIPE SET - 110-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000300800,HEAT EXCHANGER ASSY - 90 TON,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,2000300900,HOPPER ASSY - 25KG,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,7000100600,FASTENER KIT MAIN MACHINE - 110-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,7000200200,NIPPLE KIT - 110-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,7000300200,HOSE PIPE KIT - 110-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,7000400100,LUBR PUMP SYSTEM,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000000400,SERVO PUMP HOSE NIPPLE ASSY - 64 LTR,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000000500,PLC BOX FB ASSY - B&R,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000000600,LOCKING UNIT JUNCTION BOX OP FB ASSY,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000000700,LOCKING UNIT JUNCTION BOX NOP FB ASSY,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000000800,HEATER WIRE JUNCTION BOX FB ASSY,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000002300,HYDRO MOTOR PIPE CLAMP MTG -420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3000002400,LOCKING UNIT LINEAR MTG BRACKET - 110 TON,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110006500,INJECTION MANIFOLD - NG10,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110006600,LOCKING MANIFOLD NG10-NG6-NG6,110-420,1.0,NOS,0.0,0.5
