BOM Code,Machine Model / Assembly Name,Version,Sub-Assembly Block,Item / Part Code,Old Item Code,Item Description,Category,BOM Qty Per Machine,Unit,Lead Time Days,Scrap %,Estimated Assembly Hours
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005007500,-,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005010400,-,BARREL PLATE - 1520 (STOCK-280) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005011800,-,BEARING HOUSING - 1520 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005012800,-,INJ CYL ROD NUT RETAINER - 1520 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005013400,-,INJECTION GUIDE ROD SUPPORT ID Ø70 - 905 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005002900,-,EJECTOR PLATE  TOGGLE - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005013500,-,HEAT EXCHANGER FRONT CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005013600,-,HEAT EXCHANGER END CAP - 90 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0005,PATTERN-200-1520,Rev 1.0,PATTERN-200-1520,4005006100,-,MOVING PLATE SLIDING BLOCK - 200 TON (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,4005010600,-,BARREL PLATE - 2350 (STOCK-315) (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,4005012000,-,BEARING HOUSING - 2350 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,4005012900,-,INJ CYL ROD NUT RETAINER - 2350 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,4005013400,-,INJECTION GUIDE ROD SUPPORT ID Ø70 - 905 (PATTERN),PTN,1.0,NOS,25,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0006,PATTERN-2350,Rev 1.0,PATTERN-2350,,,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001000100,11201,STATIONARY PLATE TOGGLE - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001001200,11202,MOVING PLATE TOGGLE - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001002300,11203,END PLATE - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001003600,11204,CROSS HEAD - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001004200,11207,CROSS HEAD LINK - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001004800,11205,BINARY LINK - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001005400,11206,TERNARY LINK - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001006300,11208,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001006900,11210,GEAR NUT RETAINER - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001007500,11209,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001009600,-,BARREL PLATE - 280 (STOCK-150) (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001011200,-,BEARING HOUSING - 280 (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001012500,-,INJECTION CYLINDER ROD NUT RETAINER - 280 (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001013300,-,INJECTION GUIDE ROD SUPPORT Ø60 - 280 (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001002900,-,EJECTOR PLATE  TOGGLE - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001013500,-,HEAT EXCHANGER FRONT CAP - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,4001013600,-,HEAT EXCHANGER END CAP - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0007,CASTING-90-280,Rev 1.0,CASTING-90-280,,-,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001000200,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001001300,12202,MOVING PLATE TOGGLE - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001002400,12203,END PLATE - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001003700,12204,CROSS HEAD - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001004300,12207,CROSS HEAD LINK - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001004900,12205,BINARY LINK - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001005500,12206,TERNARY LINK - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001006400,12208,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001007000,12209,GEAR NUT RETAINER - 110 TON (CASTING),RM,1.0,NOS,18,0,2.5
